Build model ...
Saving everything to directory ../checkpoints_50.
epoch: 1
Epoch: [0][0/849]	Time 16.178 (16.178)	Data 4.064 (4.064)	Loss 0.6034 (0.6034)	Prec 0.397 (0.397)	
Epoch: [0][1/849]	Time 1.282 (8.730)	Data 0.093 (2.079)	Loss 0.5693 (0.5863)	Prec 0.431 (0.414)	
Epoch: [0][2/849]	Time 2.037 (6.499)	Data 0.845 (1.667)	Loss 0.4787 (0.5505)	Prec 0.521 (0.450)	
Epoch: [0][3/849]	Time 2.035 (5.383)	Data 0.845 (1.462)	Loss 0.3697 (0.5053)	Prec 0.630 (0.495)	
Epoch: [0][4/849]	Time 2.040 (4.714)	Data 0.847 (1.339)	Loss 0.2828 (0.4608)	Prec 0.717 (0.539)	
Epoch: [0][5/849]	Time 2.036 (4.268)	Data 0.846 (1.257)	Loss 0.2423 (0.4244)	Prec 0.758 (0.576)	
Epoch: [0][6/849]	Time 2.035 (3.949)	Data 0.847 (1.198)	Loss 0.2363 (0.3975)	Prec 0.764 (0.602)	
Epoch: [0][7/849]	Time 2.036 (3.710)	Data 0.846 (1.154)	Loss 0.2338 (0.3770)	Prec 0.766 (0.623)	
Epoch: [0][8/849]	Time 2.038 (3.524)	Data 0.847 (1.120)	Loss 0.2792 (0.3662)	Prec 0.721 (0.634)	
Epoch: [0][9/849]	Time 2.037 (3.375)	Data 0.845 (1.093)	Loss 0.2738 (0.3569)	Prec 0.726 (0.643)	
Epoch: [0][10/849]	Time 2.038 (3.254)	Data 0.847 (1.070)	Loss 0.2636 (0.3484)	Prec 0.736 (0.652)	
Epoch: [0][11/849]	Time 2.036 (3.152)	Data 0.845 (1.051)	Loss 0.2460 (0.3399)	Prec 0.754 (0.660)	
Epoch: [0][12/849]	Time 2.033 (3.066)	Data 0.844 (1.035)	Loss 0.2462 (0.3327)	Prec 0.754 (0.667)	
Epoch: [0][13/849]	Time 2.036 (2.993)	Data 0.847 (1.022)	Loss 0.2384 (0.3260)	Prec 0.762 (0.674)	
Epoch: [0][14/849]	Time 2.035 (2.929)	Data 0.845 (1.010)	Loss 0.2254 (0.3193)	Prec 0.775 (0.681)	
Epoch: [0][15/849]	Time 2.036 (2.873)	Data 0.848 (1.000)	Loss 0.1955 (0.3115)	Prec 0.804 (0.688)	
Epoch: [0][16/849]	Time 2.034 (2.824)	Data 0.844 (0.991)	Loss 0.1703 (0.3032)	Prec 0.830 (0.697)	
Epoch: [0][17/849]	Time 2.038 (2.780)	Data 0.846 (0.983)	Loss 0.1690 (0.2958)	Prec 0.831 (0.704)	
Epoch: [0][18/849]	Time 2.037 (2.741)	Data 0.846 (0.976)	Loss 0.1942 (0.2904)	Prec 0.806 (0.710)	
Epoch: [0][19/849]	Time 2.037 (2.706)	Data 0.846 (0.969)	Loss 0.1965 (0.2857)	Prec 0.804 (0.714)	
Epoch: [0][20/849]	Time 2.038 (2.674)	Data 0.847 (0.963)	Loss 0.2000 (0.2816)	Prec 0.800 (0.718)	
Epoch: [0][21/849]	Time 2.037 (2.645)	Data 0.845 (0.958)	Loss 0.1949 (0.2777)	Prec 0.805 (0.722)	
Epoch: [0][22/849]	Time 2.035 (2.618)	Data 0.846 (0.953)	Loss 0.1713 (0.2731)	Prec 0.829 (0.727)	
Epoch: [0][23/849]	Time 2.037 (2.594)	Data 0.845 (0.949)	Loss 0.1526 (0.2681)	Prec 0.847 (0.732)	
Epoch: [0][24/849]	Time 2.036 (2.572)	Data 0.846 (0.944)	Loss 0.1318 (0.2626)	Prec 0.868 (0.737)	
Epoch: [0][25/849]	Time 2.039 (2.551)	Data 0.848 (0.941)	Loss 0.1557 (0.2585)	Prec 0.844 (0.742)	
Epoch: [0][26/849]	Time 2.037 (2.532)	Data 0.847 (0.937)	Loss 0.1689 (0.2552)	Prec 0.831 (0.745)	
Epoch: [0][27/849]	Time 2.053 (2.515)	Data 0.846 (0.934)	Loss 0.1592 (0.2517)	Prec 0.841 (0.748)	
Epoch: [0][28/849]	Time 2.019 (2.498)	Data 0.828 (0.930)	Loss 0.1409 (0.2479)	Prec 0.859 (0.752)	
Epoch: [0][29/849]	Time 2.035 (2.483)	Data 0.847 (0.928)	Loss 0.1415 (0.2444)	Prec 0.858 (0.756)	
Epoch: [0][30/849]	Time 2.034 (2.468)	Data 0.845 (0.925)	Loss 0.1232 (0.2405)	Prec 0.877 (0.760)	
Epoch: [0][31/849]	Time 2.036 (2.455)	Data 0.847 (0.923)	Loss 0.1379 (0.2373)	Prec 0.862 (0.763)	
Epoch: [0][32/849]	Time 2.036 (2.442)	Data 0.847 (0.920)	Loss 0.1478 (0.2346)	Prec 0.852 (0.765)	
Epoch: [0][33/849]	Time 2.036 (2.430)	Data 0.845 (0.918)	Loss 0.1429 (0.2319)	Prec 0.857 (0.768)	
Epoch: [0][34/849]	Time 2.036 (2.419)	Data 0.846 (0.916)	Loss 0.1334 (0.2290)	Prec 0.867 (0.771)	
Epoch: [0][35/849]	Time 2.039 (2.408)	Data 0.848 (0.914)	Loss 0.1295 (0.2263)	Prec 0.871 (0.774)	
Epoch: [0][36/849]	Time 2.034 (2.398)	Data 0.846 (0.912)	Loss 0.1309 (0.2237)	Prec 0.869 (0.776)	
Epoch: [0][37/849]	Time 2.039 (2.389)	Data 0.846 (0.910)	Loss 0.1391 (0.2215)	Prec 0.861 (0.779)	
Epoch: [0][38/849]	Time 2.035 (2.380)	Data 0.844 (0.909)	Loss 0.1332 (0.2192)	Prec 0.867 (0.781)	
Epoch: [0][39/849]	Time 2.070 (2.372)	Data 0.846 (0.907)	Loss 0.1408 (0.2172)	Prec 0.859 (0.783)	
Epoch: [0][40/849]	Time 2.004 (2.363)	Data 0.813 (0.905)	Loss 0.1318 (0.2152)	Prec 0.868 (0.785)	
Epoch: [0][41/849]	Time 2.039 (2.355)	Data 0.847 (0.904)	Loss 0.1261 (0.2130)	Prec 0.874 (0.787)	
Epoch: [0][42/849]	Time 2.035 (2.348)	Data 0.845 (0.902)	Loss 0.1342 (0.2112)	Prec 0.866 (0.789)	
Epoch: [0][43/849]	Time 2.036 (2.341)	Data 0.845 (0.901)	Loss 0.1442 (0.2097)	Prec 0.856 (0.790)	
Epoch: [0][44/849]	Time 2.036 (2.334)	Data 0.846 (0.900)	Loss 0.1290 (0.2079)	Prec 0.871 (0.792)	
Epoch: [0][45/849]	Time 2.046 (2.328)	Data 0.846 (0.899)	Loss 0.1275 (0.2061)	Prec 0.873 (0.794)	
Epoch: [0][46/849]	Time 2.026 (2.321)	Data 0.835 (0.897)	Loss 0.1355 (0.2046)	Prec 0.865 (0.795)	
Epoch: [0][47/849]	Time 2.035 (2.315)	Data 0.844 (0.896)	Loss 0.1327 (0.2031)	Prec 0.867 (0.797)	
Epoch: [0][48/849]	Time 2.035 (2.309)	Data 0.845 (0.895)	Loss 0.1386 (0.2018)	Prec 0.861 (0.798)	
Epoch: [0][49/849]	Time 2.034 (2.304)	Data 0.845 (0.894)	Loss 0.1358 (0.2005)	Prec 0.864 (0.799)	
Epoch: [0][50/849]	Time 2.038 (2.299)	Data 0.845 (0.893)	Loss 0.1325 (0.1992)	Prec 0.868 (0.801)	
Epoch: [0][51/849]	Time 2.036 (2.294)	Data 0.846 (0.892)	Loss 0.1341 (0.1979)	Prec 0.866 (0.802)	
Epoch: [0][52/849]	Time 2.038 (2.289)	Data 0.847 (0.891)	Loss 0.1234 (0.1965)	Prec 0.877 (0.803)	
Epoch: [0][53/849]	Time 2.034 (2.284)	Data 0.846 (0.890)	Loss 0.1303 (0.1953)	Prec 0.870 (0.805)	
Epoch: [0][54/849]	Time 2.039 (2.280)	Data 0.847 (0.890)	Loss 0.1292 (0.1941)	Prec 0.871 (0.806)	
